-0x1f7c SEC_ERROR_OCSP_OLD_RESPONSE
-0x1f7b SEC_ERROR_DIGEST_NOT_FOUND
-0x1f7a SEC_ERROR_UNSUPPORTED_MESSAGE_TYPE
-0x1f79 SEC_ERROR_MODULE_STUCK
-0x1f78 SEC_ERROR_BAD_TEMPLATE
-0x1f77 SEC_ERROR_CRL_NOT_FOUND
-0x1f76 SEC_ERROR_REUSED_ISSUER_AND_SERIAL
-0x1f75 SEC_ERROR_BUSY
-0x1f74 SEC_ERROR_EXTRA_INPUT
-0x1f73 SEC_ERROR_UNSUPPORTED_ELLIPTIC_CURVE
-0x1f72 SEC_ERROR_UNSUPPORTED_EC_POINT_FORM
-0x1f71 SEC_ERROR_UNRECOGNIZED_OID
-0x1f70 SEC_ERROR_OCSP_INVALID_SIGNING_CERT
-0x1f6f SEC_ERROR_REVOKED_CERTIFICATE_CRL
-0x1f6e SEC_ERROR_REVOKED_CERTIFICATE_OCSP
-0x1f6d SEC_ERROR_CRL_INVALID_VERSION
-0x1f6c SEC_ERROR_CRL_V1_CRITICAL_EXTENSION
-0x1f6b SEC_ERROR_CRL_UNKNOWN_CRITICAL_EXTENSION
-0x1f6a SEC_ERROR_UNKNOWN_OBJECT_TYPE
-0x1f69 SEC_ERROR_INCOMPATIBLE_PKCS11
-0x1f68 SEC_ERROR_NO_EVENT
-0x1f67 SEC_ERROR_CRL_ALREADY_EXISTS
-0x1f66 SEC_ERROR_NOT_INITIALIZED
-0x1f65 SEC_ERROR_TOKEN_NOT_LOGGED_IN
-0x1f64 SEC_ERROR_OCSP_RESPONDER_CERT_INVALID
-0x1f63 SEC_ERROR_OCSP_BAD_SIGNATURE
-0x1f62 SEC_ERROR_OUT_OF_SEARCH_LIMITS
-0x1f61 SEC_ERROR_INVALID_POLICY_MAPPING
-0x1f60 SEC_ERROR_POLICY_VALIDATION_FAILED
-0x1f5f SEC_ERROR_UNKNOWN_AIA_LOCATION_TYPE
-0x1f5e SEC_ERROR_BAD_HTTP_RESPONSE
-0x1f5d SEC_ERROR_BAD_LDAP_RESPONSE
-0x1f5c SEC_ERROR_FAILED_TO_ENCODE_DATA
-0x1f5b SEC_ERROR_BAD_INFO_ACCESS_LOCATION
-0x1f5a SEC_ERROR_LIBPKIX_INTERNAL
-0x1f59 SEC_ERROR_PKCS11_GENERAL_ERROR
-0x1f58 SEC_ERROR_PKCS11_FUNCTION_FAILED
-0x1f57 SEC_ERROR_PKCS11_DEVICE_ERROR
-0x1f56 SEC_ERROR_BAD_INFO_ACCESS_METHOD
-0x1f55 SEC_ERROR_CRL_IMPORT_FAILED
-0x1f54 SEC_ERROR_EXPIRED_PASSWORD
-0x1f53 SEC_ERROR_LOCKED_PASSWORD
-0x1f52 SEC_ERROR_UNKNOWN_PKCS11_ERROR
-0x1f51 SEC_ERROR_BAD_CRL_DP_URL
-0x1f50 SEC_ERROR_CERT_SIGNATURE_ALGORITHM_DISABLED
-0x1f4f SEC_ERROR_LEGACY_DATABASE
-0x1f4e SEC_ERROR_APPLICATION_CALLBACK_ERROR
0x0 NS_BINDING_SUCCEEDED
0x0 NS_ERROR_HTMLPARSER_CONTINUE
0x0 NS_OK
0x0 NS_RDF_ASSERTION_ACCEPTED
0x0 NS_STATE_PROPERTY_EXISTS
0x460001  NS_SUCCESS_LOSS_OF_INSIGNIFICANT_DATA
0x460002  NS_SUCCESS_INTERRUPTED_TRAVERSE
0x460016  NS_ERROR_SERVICE_NOT_FOUND
0x460017  NS_ERROR_SERVICE_IN_USE
0x490001  NS_SUCCESS_EVENT_CONSUMED
0x490002  NS_SUCCESS_EVENT_HANDLED_ASYNCHRONOUSLY
0x4b001b  NS_NET_STATUS_BEGIN_FTP_TRANSACTION
0x4b001c  NS_NET_STATUS_END_FTP_TRANSACTION
0x4b0028  NS_SUCCESS_AUTH_FINISHED
0x4b005a  NS_SUCCESS_ADOPTED_DATA
0x4c03ed  NS_PLUGIN_INIT_PENDING
0x4d0000  NS_TABLELAYOUT_CELL_NOT_FOUND
0x4d0003  NS_POSITION_BEFORE_TABLE
0x4d0005  NS_STATE_PROPERTY_NOT_THERE
0x4e07d0  NS_HTMLTOKENS_NOT_AN_ENTITY
0x4e0bb8  NS_HTMLPARSER_VALID_META_CHARSET
0x4f0001  NS_RDF_CURSOR_EMPTY
0x4f0002  NS_RDF_NO_VALUE
0x4f0003  NS_RDF_ASSERTION_REJECTED
0x4f0004  NS_RDF_STOP_VISIT
0x500002  NS_SUCCESS_USING_FALLBACK_LOCALE
0x50000b  NS_EXACT_LENGTH
0x50000b  NS_OK_UDEC_EXACTLENGTH
0x50000c  NS_OK_UDEC_MOREINPUT
0x50000c  NS_PARTIAL_MORE_INPUT
0x50000d  NS_OK_UDEC_MOREOUTPUT
0x50000d  NS_PARTIAL_MORE_OUTPUT
0x50000e  NS_OK_UDEC_NOBOMFOUND
0x500021  NS_OK_UENC_EXACTLENGTH
0x500022  NS_OK_UENC_MOREOUTPUT
0x500023  NS_ERROR_UENC_NOMAPPING
0x500024  NS_OK_UENC_MOREINPUT
0x520001  NS_SUCCESS_FILE_DIRECTORY_EMPTY
0x520002  NS_SUCCESS_AGGREGATE_RESULT
0x530001  NS_SUCCESS_DOM_NO_OPERATION
0x530002  NS_SUCCESS_DOM_SCRIPT_EVALUATION_THREW
0x530003  NS_SUCCESS_DOM_SCRIPT_EVALUATION_THREW_UNCATCHABLE
0x540000  NS_IMAGELIB_SUCCESS_LOAD_FINISHED
0x540001  NS_IMAGELIB_CHANGING_OWNER
0x560001  NS_SUCCESS_EDITOR_ELEMENT_NOT_FOUND
0x560002  NS_SUCCESS_EDITOR_FOUND_TARGET
0x5d0002  NS_REFRESHURI_HEADER_FOUND
0x5e0002  NS_HTML_STYLE_PROPERTY_NOT_THERE
0x5e0008  NS_CONTENT_BLOCKED
0x5e0009  NS_CONTENT_BLOCKED_SHOW_ALT
0x5e000b  NS_PROPTABLE_PROP_OVERWRITTEN
0x5e000c  NS_FINDBROADCASTER_NOT_FOUND
0x5e000d  NS_FINDBROADCASTER_FOUND
0x5e000e  NS_FINDBROADCASTER_AWAIT_OVERLAYS
0x600001  NS_XSLT_GET_NEW_HANDLER
0x780001  NS_SUCCESS_DONT_FIXUP
0x780001  NS_SUCCESS_RESTART_APP
0x780003  NS_SUCCESS_RESTART_APP_NOT_SAME_PROFILE
0x780011  NS_SUCCESS_UNORM_NOTFOUND
0x780022  NS_OK_NO_NAME_CLAUSE_HANDLED
0x80004001  NS_ERROR_NOT_IMPLEMENTED
0x80004002  NS_ERROR_NO_INTERFACE
0x80004002  NS_NOINTERFACE
0x80004004  NS_ERROR_ABORT
0x80004005  NS_ERROR_FAILURE
0x8000ffff  NS_ERROR_UNEXPECTED
0x80040110  NS_ERROR_NO_AGGREGATION
0x80040111  NS_ERROR_NOT_AVAILABLE
0x80040154  NS_ERROR_FACTORY_NOT_REGISTERED
0x80040155  NS_ERROR_FACTORY_REGISTER_AGAIN
0x800401f8  NS_ERROR_FACTORY_NOT_LOADED
0x8007000e  NS_ERROR_OUT_OF_MEMORY
0x80070057  NS_ERROR_ILLEGAL_VALUE
0x80070057  NS_ERROR_INVALID_ARG
0x80070057  NS_ERROR_INVALID_POINTER
0x80070057  NS_ERROR_NULL_POINTER
0x80070057  NS_ERROR_XPATH_INVALID_ARG
0x80460001  NS_ERROR_CANNOT_CONVERT_DATA
0x80460002  NS_ERROR_OBJECT_IS_IMMUTABLE
0x80460003  NS_ERROR_LOSS_OF_SIGNIFICANT_DATA
0x80460004  NS_ERROR_NOT_SAME_THREAD
0x80460016  NS_ERROR_SERVICE_NOT_AVAILABLE
